--- ANALISIS KATA MENTAH DARI PDF ---
Total kata ditemukan: 339
Format: (x: koordinat_x) (y: koordinat_y) Teks_Kata

(x: 49) 	(y: 205) 	1
(x: 58) 	(y: 205) 	HNS
(x: 76) 	(y: 205) 	SHAMPOO
(x: 116) 	(y: 205) 	SUPREME
(x: 156) 	(y: 205) 	ANTI
(x: 58) 	(y: 216) 	HAIR
(x: 78) 	(y: 216) 	FALL
(x: 98) 	(y: 216) 	330ML
(x: 197) 	(y: 205) 	1.00
(x: 234) 	(y: 205) 	EACH
(x: 273) 	(y: 205) 	06378165
(x: 324) 	(y: 205) 	4902430869126
(x: 399) 	(y: 205) 	24.00
(x: 493) 	(y: 205) 	0.00
(x: 551) 	(y: 205) 	-
(x: 580) 	(y: 205) 	52,570.00
(x: 639) 	(y: 205) 	1,261,680.00
(x: 741) 	(y: 205) 	-
(x: 811) 	(y: 205) 	-
(x: 49) 	(y: 229) 	2
(x: 58) 	(y: 229) 	HERBAL
(x: 90) 	(y: 229) 	ESS
(x: 107) 	(y: 229) 	SHAMPOO
(x: 148) 	(y: 229) 	ROSE-
(x: 58) 	(y: 240) 	MARY
(x: 82) 	(y: 240) 	N
(x: 89) 	(y: 240) 	HERBS
(x: 117) 	(y: 240) 	400
(x: 132) 	(y: 240) 	ML
(x: 197) 	(y: 229) 	1.00
(x: 234) 	(y: 229) 	EACH
(x: 273) 	(y: 229) 	07576140
(x: 324) 	(y: 229) 	8001090222909
(x: 403) 	(y: 229) 	3.00
(x: 493) 	(y: 229) 	0.00
(x: 551) 	(y: 229) 	-
(x: 580) 	(y: 229) 	78,912.00
(x: 645) 	(y: 229) 	236,736.00
(x: 741) 	(y: 229) 	-
(x: 811) 	(y: 229) 	-
(x: 49) 	(y: 253) 	3
(x: 58) 	(y: 253) 	HNS
(x: 76) 	(y: 253) 	SHAMPOO
(x: 116) 	(y: 253) 	ITCH
(x: 136) 	(y: 253) 	CARE
(x: 159) 	(y: 253) 	EUCA-
(x: 58) 	(y: 265) 	LYPTUS
(x: 89) 	(y: 265) 	300ML
(x: 197) 	(y: 253) 	1.00
(x: 234) 	(y: 253) 	EACH
(x: 273) 	(y: 253) 	07878015
(x: 324) 	(y: 253) 	4987176046369
(x: 399) 	(y: 253) 	24.00
(x: 493) 	(y: 253) 	0.00
(x: 551) 	(y: 253) 	-
(x: 580) 	(y: 253) 	48,000.00
(x: 639) 	(y: 253) 	1,152,000.00
(x: 741) 	(y: 253) 	-
(x: 811) 	(y: 253) 	-
(x: 49) 	(y: 278) 	4
(x: 58) 	(y: 278) 	HNS
(x: 76) 	(y: 278) 	SHAMPOO
(x: 116) 	(y: 278) 	ITCH
(x: 136) 	(y: 278) 	CARE
(x: 159) 	(y: 278) 	EUCA-
(x: 58) 	(y: 289) 	LYPTUS
(x: 89) 	(y: 289) 	400ML
(x: 197) 	(y: 278) 	1.00
(x: 234) 	(y: 278) 	EACH
(x: 273) 	(y: 278) 	07878022
(x: 324) 	(y: 278) 	4987176046352
(x: 403) 	(y: 278) 	6.00
(x: 493) 	(y: 278) 	0.00
(x: 551) 	(y: 278) 	-
(x: 580) 	(y: 278) 	57,091.00
(x: 645) 	(y: 278) 	342,546.00
(x: 741) 	(y: 278) 	-
(x: 811) 	(y: 278) 	-
(x: 49) 	(y: 302) 	5
(x: 58) 	(y: 302) 	HNS
(x: 76) 	(y: 302) 	SHAMPOO
(x: 116) 	(y: 302) 	ANTI
(x: 136) 	(y: 302) 	APEK
(x: 158) 	(y: 302) 	CHAR-
(x: 58) 	(y: 313) 	COAL
